Italian,English
parte,part
storia,history
ricerca,search
soltanto,only
Polizia Stradale,police
Pensiero,thought
aiuto,help
richiesta,request
Tipo,kind
mese,month
fratello,brother
permettere,let
Perché,because
mettere,to put
NO,no
guinzaglio,leash
loro,them
città,city
ogni,each
parlare,speak
Venire,come
Dovrebbe,should
Bambino,baby
a lungo,long time
ore,hours
Volere,will
Mentre,while
rincontrarsi,meet again
Qualunque,any
piazza,square
parlare,speak
inteso,understood
sapevo,knew
erano,were
Avvertimento,Warning
qui è,here is
Potevo,could
caso,case
Dare,give
tipo,type
loro,their
dato,given
treno,train
corpo,body
posto,place
occhi,eyes
modo,way
Ascoltare,listen
di chi,whose
Trovare,find
Primo,first
perduto,lost
mano,hand
Primo,first
lato,side
energia,power
vecchio,old
Essere,be
Qui,here
Mattina,morning
tanto,so much
bambino,child
punto,point
venni,came
Dopo,after
Scusa,sorry
Venire,come
di fronte a,in front of
in direzione,towards
minuti,minutes
richiesta,request
camera da letto,bedroom
collocato,placed
Bellissimo,beautiful
legge,law
vorrei,would like to
Oggi,today
marito,husband
causa,cause
Finalmente,finally
Speranza,hope
acqua,water
Aspettare,Wait
Sinistra,left
nuovo,new
lavoro,job
Fermare,Stop
direi,would say
Terra,Earth
account,account
dato,given
lontano,far
FINE,end
credere,believe
Tesoro,sweetheart
grande,large
Piuttosto,rather
avrà,will have
ragazze,girls
giocare,to play
ufficio,office
